Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 192, 0, 33.066, 33.066, 33.245, 0.18, 5, 33.245, 34.036, 0.791, 2021, 2, 34.036, 34.066, 0.03, 26,     1.000,
 181, 0, 31.816, 31.816, 31.852, 0.035, 58, 31.852, 32.71, 0.859, 1433, 2, 32.71, 34.138, 1.428, 2856,     2.322,
 194, 0, 33.245, 33.245, 33.275, 0.029, 30, 33.275, 34.144, 0.87, 1239, 2, 34.144, 34.154, 0.01, 22,     0.909,
 170, 0, 29.88, 29.88, 29.905, 0.026, 51, 29.905, 34.592, 4.687, 1397, 2, 34.592, 34.602, 0.01, 15,     4.723,
 168, 0, 29.603, 29.603, 29.657, 0.053, 113, 29.657, 34.405, 4.749, 1671, 2, 34.405, 34.612, 0.207, 418,     5.009,
 197, 0, 33.937, 33.937, 33.953, 0.016, 31, 33.953, 34.678, 0.726, 1975, 2, 34.678, 34.746, 0.068, 136,     0.809,
 200, 0, 34.217, 34.217, 34.229, 0.012, 24, 34.229, 34.965, 0.736, 1517, 2, 34.965, 35.003, 0.038, 67,     0.786,
 203, 0, 34.331, 34.331, 34.341, 0.01, 2, 34.341, 35.159, 0.818, 1389, 2, 35.159, 35.347, 0.188, 376,     1.016,
 201, 0, 34.236, 34.236, 34.236, 0, 8, 34.236, 35.261, 1.025, 1752, 2, 35.261, 35.39, 0.129, 243,     1.153,
 174, 0, 30.922, 30.922, 31.011, 0.088, 185, 31.011, 35.409, 4.398, 1063, 2, 35.409, 35.445, 0.036, 73,     4.523,
 198, 0, 34.119, 34.119, 34.369, 0.25, 501, 34.369, 35.464, 1.095, 1612, 2, 35.464, 35.51, 0.046, 92,     1.391,
